t1,t2,gr1,gr2,s1p1,s1p2,s2p1,s2p2,direction
0,1,0.6508922884823096,0.31438782100834906,0.5503798778844595,1.2012721663667691,1.435542004825108,1.749929825833457
1,0,1.0081319059506548,-1.567498104068632,1.8246735730457126,2.8328054789963675,4.473637073913773,2.906138969845141
0,1,-0.38673735628887185,0.6327510417761115,1.7648730513225663,1.3781356950336945,1.28235830168645,1.9151093434625615
1,0,-1.3411377969495715,-2.490604313308844,4.130113727911079,2.788975930961507,3.847969087946875,1.3573647746380313
0,1,-0.7097776151096751,0.9524314620837162,2.0617671395171104,1.3519895244074354,0.7758466065414427,1.7282780686251589
1,0,-0.9487433057949981,-1.4795139767267893,4.079993167304444,3.131249861509446,2.9043833134386685,1.4248693367118792
0,1,1.2142496783794505,1.8112892132642546,0.37411682246121664,1.588366500840667,1.0469149062671437,2.8582041195313983
1,0,-2.414941302680465,-2.8067689193196648,4.290363341202713,1.8754220385222484,4.158979073876992,1.352210154557327
0,1,0.27497780755170376,1.9126744380219787,1.2581174670171815,1.5330952745688853,1.212338589676345,3.1250130276983237
1,0,-2.3343731354254214,-2.0857664854694398,4.142828409947645,1.8084552745222242,3.8957761449930923,1.8100096595236526
0,1,-0.06470314995417215,2.0823965054616367,1.354528477250211,1.289825327296039,1.1265668707382566,3.2089633761998932
1,0,-1.180992253769074,-2.4751668960446276,4.19806692421953,3.017074670450456,3.988294537121769,1.5131276410771413
0,1,-0.14807027791828498,0.3675657218341353,1.7680119637646465,1.6199416858463616,1.4896502458143486,1.8572159676484838
1,0,-1.3296120704670655,-2.013265648930597,4.165620592112099,2.836008521645033,3.5817765613551806,1.5685109124245837
0,1,1.4045762567766134,0.7196307785180125,0.3011116526923855,1.7056879094689987,1.167618216959108,1.8872489954771206
1,0,-2.3047801013490723,-2.288109405016752,3.8712168609803688,1.5664367596312965,3.83655778759044,1.548448382573688
0,1,-0.2024824959780518,2.125925006543561,1.3188236734850336,1.1163411775069818,0.9612207276237215,3.0871457341672826
1,0,-2.536441364911863,-2.1189894264973974,4.171153795965593,1.6347124310537304,3.742562708346122,1.6235732818487247
